ID,Title,Address,Date_Posted,Number_of_Bedrooms,Number_of_Bathrooms,Area_m2,Price,Image_URL
77,Bán biệt thự đẳng cấp nội thất sang trọng Măng Lin P7 Đà Lạt - MN3582,"TP. Đà Lạt, Lâm Đồng",2023-11-14,6,6,460,56000000000,https://cloud.mogi.vn/images/thumb-ms/2023/10/30/507/8e2ef73232ab42e484707714c882f8c5.jpg
78,Bán nhà mới hoàn thiện đường ô tô Trần Quý Cáp phường 9 Đà Lạt MN3581,"TP. Đà Lạt, Lâm Đồng",2023-11-14,4,5,68,9500000000,https://cloud.mogi.vn/images/thumb-small/2023/10/30/535/86d0a0426db94fd7bdce093804b11955.jpg
79,Bán homestay 2 mặt tiền Thủ Khoa Huân P1 Đà Lạt ngay trung tâm MN3575,"TP. Đà Lạt, Lâm Đồng",2023-11-14,8,8,56,12000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/30/587/b589bef8d1bb43c898f8e8cdc5b903fc.jpg
80,Bán nhà mặt tiền Nguyễn Trung Trực phường 4 Đà Lạt tiện an cư - MN3255,"TP. Đà Lạt, Lâm Đồng",2023-11-14,3,3,94,9000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/31/369/0c9cfa77f7ad4a4990d686c1034952ce.jpg
81,Bán khách sạn 2 mặt tiền KQH Bà Triệu P4 Đà Lạt ngay trung tâm MN3434,"TP. Đà Lạt, Lâm Đồng",2023-11-14,10,14,60,15000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/20/450/0fdb692373ae4a00bd98ff9cf663abd8.jpg
82,Bán nhà KQH Hoàng Diệu Phường 5 Đà Lạt ngay trung tâm thành phố MN3390,"TP. Đà Lạt, Lâm Đồng",2023-11-14,3,3,52,7800000000,https://cloud.mogi.vn/images/thumb-small/2023/10/23/325/a470a3e1b0e048a6bdbef68c8144a1f2.jpg
83,Bán biệt thự KQH An Sơn phường 4 Đà Lạt hợp an cư nghỉ dưỡng - MN3386,"TP. Đà Lạt, Lâm Đồng",2023-11-14,9,9,207,26000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/23/398/d296f1d60ae64b37b14b60e8a3ad7ff7.jpg
84,Bán khách sạn Trần Phú phường 3 Đà Lạt ngay trung tâm thành phố MN3383,"TP. Đà Lạt, Lâm Đồng",2023-11-14,16,16,124,35000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/23/432/1868243d59ca49e99f47fbc7b3bcccee.jpg
85,Bán biệt thự 2 mặt tiền hẻm Gio An P5 Đà Lạt tiện nghỉ dưỡng - MN3381,"TP. Đà Lạt, Lâm Đồng",2023-11-14,11,7,300,13900000000,https://cloud.mogi.vn/images/thumb-small/2023/10/23/487/874955b525f04eecac07d279c9dc9764.jpg
86,Bán biệt thự mặt tiền Lương Thế Vinh P3 Đà Lạt hợp nghỉ dưỡng - MN3362,"TP. Đà Lạt, Lâm Đồng",2023-11-14,23,23,400,41000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/25/439/7a38448ba24f45338ab697d4985b6c70.jpg
87,Bán nhà 2 mặt tiền Đan Kia P7 Đà Lạt tiện an cư nghỉ dưỡng - MN3357,"TP. Đà Lạt, Lâm Đồng",2023-11-14,7,7,120,9000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/25/524/803ea98dc2dd403c97246d2236de9ace.jpg
88,Bán khu homestay Vạn Hạnh phường 8 Đà Lạt đang kinh doanh tốt - MN3351,"TP. Đà Lạt, Lâm Đồng",2023-11-14,14,14,554,33000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/25/049/d8ea598566864f18a1f848e821e46547.jpg
89,Bán biệt thự sân vườn Trần Đại Nghĩa P8 Đà Lạt hợp nghĩ dưỡng - MN3349,"TP. Đà Lạt, Lâm Đồng",2023-11-14,3,3,262,13000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/25/115/2d51d98185c846d5893ec561f1993231.jpg
90,Bán nhà Đào Duy Từ phường 4 Đà Lạt thích hợp an cư lạc nghiệp - MN3347,"TP. Đà Lạt, Lâm Đồng",2023-11-14,12,12,164,13000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/25/154/9c37fe609b264050ba250683979b67ea.jpg
91,Bán biệt thự Lan Anh phường 4 Đà Lạt khu nghỉ dưỡng cao cấp - MN3478,"TP. Đà Lạt, Lâm Đồng",2023-11-14,6,7,1777,25000000000,https://cloud.mogi.vn/images/thumb-ms/2023/10/18/088/1fe64776c21241cbbcbf6b687708529a.jpg
92,Bán biệt thự mới Hoàng Hoa Thám P10 Đà Lạt view rừng thông - MN3476,"TP. Đà Lạt, Lâm Đồng",2023-11-14,12,12,300,15000000000,https://cloud.mogi.vn/images/thumb-ms/2023/10/18/139/1d5e73e609ca4001a585c82f04c74cd6.jpg
93,Bán biệt thự KQH An Sơn phường 4 Đà Lạt thiết kế tân cổ điển - MN3475,"TP. Đà Lạt, Lâm Đồng",2023-11-14,13,13,294,35000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/18/168/07a6255bd597498fb0e713bc90ccefea.jpg
94,Bán nhà mặt tiền Nguyễn Văn Trỗi Phường 2 Đà Lạt ngay trung tâm MN3474,"TP. Đà Lạt, Lâm Đồng",2023-11-14,2,2,86,20000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/18/182/2454c15b4d0c4088aed1ee141857ecac.jpg
95,Bán khách sạn mặt tiền Hai Bà Trưng Phường 6 ngay trung tâm - MN3473,"TP. Đà Lạt, Lâm Đồng",2023-11-14,20,20,160,48000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/18/212/e692a9b7999c44d78326a9d848b3bf7f.jpg
96,Bán khách sạn mặt tiền Hoàng Diệu P5 ngay trung tâm Đà Lạt - MN3472,"TP. Đà Lạt, Lâm Đồng",2023-11-14,25,25,350,47000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/18/245/b9f293bd6c3346bdac5c4502e67b1795.jpg
