ID,Title,Address,Area_m2,Number_of_Bedrooms,Number_of_Bathrooms,Date_Posted,Price
31,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
32,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
33,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
34,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
35,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
36,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
37,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
38,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
39,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
40,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
41,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
42,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
43,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
44,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
45,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
46,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
47,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
48,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
49,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
50,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
51,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
52,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
53,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
54,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
55,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
56,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
57,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
58,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
59,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
60,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
61,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
62,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
63,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
64,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
65,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
66,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
67,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
68,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
69,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
70,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
71,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
72,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
73,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
74,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
75,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
76,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
77,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
78,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
79,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
80,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
81,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
82,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
83,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
84,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
85,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
86,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
87,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
88,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
89,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
90,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
91,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
92,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
93,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
94,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
95,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
96,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
97,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
98,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
99,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
100,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
101,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
102,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
103,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
104,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
105,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
106,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
107,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
108,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
109,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
110,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
111,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
112,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
113,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
114,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
115,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
116,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
117,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
118,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
119,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
120,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
121,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
122,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
123,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
124,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
125,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
126,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
127,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
128,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
129,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
130,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
131,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
132,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
133,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
134,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
135,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
136,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
137,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
138,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
139,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
140,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
141,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
142,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
143,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
144,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
145,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
146,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
147,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
148,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
149,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
150,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
151,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
152,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
153,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
154,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
155,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
156,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
157,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
158,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
159,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
160,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
161,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
162,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
163,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
164,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
165,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
166,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
167,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
